Team Name, Predicted Postseason Result, Actual Postseason Result
Kansas, 6.0, 6.0
Purdue, 6.0, 7.0
Alabama, 5.0, 5.0
Houston, 4.0, 5.0
Texas, 4.0, 4.0
Marquette, 4.0, 6.0
Arizona, 5.0, 7.0
UCLA, 4.0, 5.0
Kansas St., 4.0, 4.0
Gonzaga, 5.0, 4.0
Baylor, 7.0, 6.0
Xavier, 5.0, 5.0
Connecticut, 3.0, 1.0
Indiana, 5.0, 6.0
Virginia, 7.0, 7.0
Tennessee, 5.0, 5.0
San Diego St., 5.0, 2.0
Miami FL, 5.0, 3.0
Saint Mary's, 5.0, 6.0
Duke, 5.0, 6.0
Creighton, 5.0, 4.0
Kentucky, 7.0, 6.0
TCU, 7.0, 6.0
Iowa St., 7.0, 7.0
Northwestern, 7.0, 6.0
Missouri, 7.0, 6.0
Texas A&M, 7.0, 7.0
Michigan St., 6.0, 5.0
Maryland, 6.0, 6.0
Iowa, 9.0, 7.0
Memphis, 6.0, 7.0
Arkansas, 6.0, 5.0
Florida Atlantic, 6.0, 3.0
Auburn, 6.0, 6.0
West Virginia, 4.0, 7.0
Illinois, 7.0, 7.0
Penn St., 6.0, 6.0
USC, 7.0, 7.0
Boise St., 7.0, 7.0
Utah St., 7.0, 7.0
Pittsburgh, 7.0, 6.0
Providence, 7.0, 7.0
North Carolina St., 8.0, 7.0
Arizona St., 6.0, 7.0
Mississippi St., 6.0, 8.0
Nevada, 8.0, 8.0
Drake, 6.0, 7.0
VCU, 6.0, 7.0
Oral Roberts, 7.0, 7.0
College of Charleston, 7.0, 7.0
Furman, 6.0, 6.0
Louisiana Lafayette, 7.0, 7.0
Iona, 6.0, 7.0
Kent St., 6.0, 7.0
Grand Canyon, 7.0, 7.0
Montana St., 7.0, 7.0
Kennesaw St., 7.0, 7.0
UC Santa Barbara, 7.0, 7.0
Vermont, 7.0, 7.0
Colgate, 7.0, 7.0
UNC Asheville, 7.0, 7.0
Princeton, 7.0, 5.0
Fairleigh Dickinson, 7.0, 6.0
Northern Kentucky, 7.0, 7.0
Howard, 8.0, 7.0
Texas A&M Corpus Chris, 7.0, 7.0
Texas Southern, 7.0, 8.0
Southeast Missouri St., 7.0, 8.0
LIU Brooklyn, 9.0, 9.0
California, 9.0, 9.0
Green Bay, 9.0, 9.0
Louisville, 9.0, 9.0
Hartford, 9.0, 9.0
Tulsa, 9.0, 9.0
South Carolina St., 9.0, 9.0
Presbyterian, 9.0, 9.0
Evansville, 9.0, 9.0
Mississippi Valley St., 9.0, 9.0
IUPUI, 9.0, 9.0
Delaware St., 9.0, 9.0
Columbia, 9.0, 9.0
Florida A&M, 9.0, 9.0
NJIT, 9.0, 9.0
Georgetown, 9.0, 9.0
Cal St. Northridge, 9.0, 9.0
VMI, 9.0, 9.0
Monmouth, 9.0, 9.0
Eastern Michigan, 9.0, 9.0
Western Michigan, 9.0, 9.0
Albany, 9.0, 9.0
Alabama St., 9.0, 9.0
Elon, 9.0, 9.0
Hampton, 9.0, 9.0
Cal Poly, 9.0, 9.0
New Mexico St., 9.0, 9.0
Wyoming, 9.0, 9.0
Pepperdine, 9.0, 9.0
Minnesota, 9.0, 9.0
Rhode Island, 9.0, 9.0
Central Arkansas, 9.0, 9.0
Austin Peay, 9.0, 9.0
Eastern Illinois, 9.0, 9.0
Lamar, 9.0, 9.0
Florida St., 9.0, 9.0
Nebraska Omaha, 9.0, 9.0
Coppin St., 9.0, 9.0
Dartmouth, 9.0, 9.0
UC San Diego, 9.0, 9.0
Canisius, 9.0, 9.0
Northeastern, 9.0, 9.0
Loyola Chicago, 9.0, 9.0
Georgia St., 9.0, 9.0
Charleston Southern, 9.0, 9.0
Arkansas Pine Bluff, 9.0, 9.0
Little Rock, 9.0, 9.0
Central Michigan, 9.0, 9.0
SMU, 9.0, 9.0
UTSA, 9.0, 9.0
Idaho, 9.0, 9.0
The Citadel, 9.0, 9.0
Holy Cross, 9.0, 9.0
Central Connecticut, 9.0, 9.0
Houston Christian, 9.0, 9.0
DePaul, 9.0, 9.0
Fresno St., 9.0, 9.0
San Diego, 9.0, 9.0
Bowling Green, 9.0, 9.0
Coastal Carolina, 9.0, 9.0
Chicago St., 9.0, 9.0
Notre Dame, 9.0, 9.0
South Carolina, 9.0, 9.0
Oregon St., 9.0, 9.0
UT Arlington, 9.0, 9.0
Idaho St., 9.0, 9.0
Louisiana Monroe, 9.0, 9.0
Valparaiso, 9.0, 9.0
Illinois St., 9.0, 9.0
UMKC, 9.0, 9.0
Lindenwood, 9.0, 9.0
Cal St. Bakersfield, 9.0, 9.0
Stony Brook, 9.0, 9.0
Lafayette, 9.0, 9.0
McNeese St., 9.0, 9.0
Manhattan, 9.0, 9.0
Portland St., 9.0, 9.0
South Dakota, 9.0, 9.0
Incarnate Word, 9.0, 9.0
Northern Colorado, 9.0, 9.0
East Tennessee St., 9.0, 9.0
Miami OH, 9.0, 9.0
Illinois Chicago, 9.0, 9.0
Bucknell, 9.0, 9.0
New Orleans, 9.0, 9.0
Bethune Cookman, 9.0, 9.0
Mississippi, 9.0, 9.0
Northern Arizona, 9.0, 9.0
Jacksonville, 9.0, 9.0
Abilene Christian, 9.0, 9.0
Maine, 9.0, 9.0
Jacksonville St., 9.0, 9.0
Fairfield, 9.0, 9.0
Binghamton, 9.0, 9.0
St. Francis PA, 9.0, 9.0
Northern Illinois, 9.0, 9.0
Prairie View A&M, 9.0, 9.0
Oakland, 9.0, 9.0
North Carolina A&T, 9.0, 9.0
Mount St. Mary's, 9.0, 9.0
North Dakota, 9.0, 9.0
Marist, 9.0, 9.0
Arkansas St., 9.0, 9.0
William & Mary, 9.0, 9.0
Texas A&M Commerce, 9.0, 9.0
Loyola MD, 9.0, 9.0
Brown, 9.0, 9.0
Harvard, 9.0, 9.0
Morgan St., 9.0, 9.0
St. Francis NY, 9.0, 9.0
